Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
10.43,Regular,0.077,Snack Foods,119.8,1999,Medium,Tier 1,Departmental Store,5202.19
12.73,Low Sugar,0.056,Fruits and Vegetables,144.22,2009,Medium,Tier 2,Supermarket Type2,3412.48
10.95,Low Sugar,0.027,Frozen Foods,120.35,2009,Medium,Tier 2,Supermarket Type2,2521.93
13.64,Regular,0.016,Dairy,155.99,2009,Medium,Tier 2,Supermarket Type2,3859.26
13.7,No Sugar,0.016,Health and Hygiene,136.46,2009,Medium,Tier 2,Supermarket Type2,3473.05
12.74,Regular,0.025,Snack Foods,121.39,2009,Medium,Tier 2,Supermarket Type2,2947.95
16.86,Low Sugar,0.061,Fruits and Vegetables,217.5,1999,Medium,Tier 1,Departmental Store,5845.41
11.69,Low Sugar,0.076,Frozen Foods,141.63,2009,Medium,Tier 2,Supermarket Type2,3125.59
11.76,Low Sugar,0.124,Frozen Foods,185.36,1987,High,Tier 2,Supermarket Type1,4034.76
12.78,Low Sugar,0.058,Snack Foods,181.08,1987,High,Tier 2,Supermarket Type1,4177.68
18.01,No Sugar,0.012,Health and Hygiene,229.54,1999,Medium,Tier 1,Departmental Store,6352.98
9.99,Low Sugar,0.04,Hard Drinks,97.16,1998,Small,Tier 3,Food Mart,1832.13
10.09,No Sugar,0.02,Household,116.0,1998,Small,Tier 3,Food Mart,2239.69
11.0,Regular,0.078,Soft Drinks,167.49,2009,Medium,Tier 2,Supermarket Type2,3498.89
9.5,Low Sugar,0.05,Fruits and Vegetables,80.23,1998,Small,Tier 3,Food Mart,1375.0
13.61,Regular,0.056,Fruits and Vegetables,135.29,2009,Medium,Tier 2,Supermarket Type2,3430.23
12.14,Low Sugar,0.09,Baking Goods,95.05,1998,Small,Tier 3,Food Mart,2273.91
11.73,Regular,0.048,Soft Drinks,122.21,2009,Medium,Tier 2,Supermarket Type2,2737.89
15.2,Low Sugar,0.013,Baking Goods,164.09,1999,Medium,Tier 1,Departmental Store,4378.47
14.23,Regular,0.057,Soft Drinks,156.52,1987,High,Tier 2,Supermarket Type1,4004.4
12.95,Regular,0.114,Baking Goods,134.98,2009,Medium,Tier 2,Supermarket Type2,3272.89
13.13,Regular,0.095,Snack Foods,116.75,2009,Medium,Tier 2,Supermarket Type2,2942.07
12.83,Low Sugar,0.011,Dairy,150.54,2009,Medium,Tier 2,Supermarket Type2,3566.16
10.84,Low Sugar,0.049,Meat,124.93,1998,Small,Tier 3,Food Mart,1215.18
10.92,Low Sugar,0.052,Fruits and Vegetables,100.26,1998,Small,Tier 3,Food Mart,2104.26
13.68,Low Sugar,0.022,Canned,169.62,1987,High,Tier 2,Supermarket Type1,4148.76
13.02,No Sugar,0.02,Health and Hygiene,136.03,2009,Medium,Tier 2,Supermarket Type2,3311.89
11.73,Low Sugar,0.128,Soft Drinks,137.31,2009,Medium,Tier 2,Supermarket Type2,3044.98
13.31,Low Sugar,0.066,Fruits and Vegetables,162.29,2009,Medium,Tier 2,Supermarket Type2,3914.8
11.68,Regular,0.142,Fruits and Vegetables,142.45,2009,Medium,Tier 2,Supermarket Type2,3139.58
11.73,Low Sugar,0.144,Canned,164.52,2009,Medium,Tier 2,Supermarket Type2,3602.16
12.28,No Sugar,0.012,Household,206.85,1987,High,Tier 2,Supermarket Type1,4593.12
10.86,Low Sugar,0.058,Snack Foods,161.79,2009,Medium,Tier 2,Supermarket Type2,3349.31
11.77,Low Sugar,0.025,Dairy,152.22,1999,Medium,Tier 1,Departmental Store,5751.8
17.11,Regular,0.065,Snack Foods,180.36,1999,Medium,Tier 1,Departmental Store,5141.68
11.49,reg,0.11,Snack Foods,135.98,2009,Medium,Tier 2,Supermarket Type2,3990.5
13.31,Regular,0.074,Snack Foods,134.89,2009,Medium,Tier 2,Supermarket Type2,3354.07
10.89,Regular,0.142,Frozen Foods,112.77,1987,High,Tier 2,Supermarket Type1,2354.38
15.26,Low Sugar,0.168,Baking Goods,173.03,1987,High,Tier 2,Supermarket Type1,4574.15
8.27,No Sugar,0.075,Health and Hygiene,156.11,2009,Medium,Tier 2,Supermarket Type2,2649.21
14.88,Regular,0.099,Canned,146.81,2009,Medium,Tier 2,Supermarket Type2,3951.97
12.44,Low Sugar,0.093,Dairy,137.86,1998,Small,Tier 3,Food Mart,552.0
12.44,Low Sugar,0.061,Canned,137.09,2009,Medium,Tier 2,Supermarket Type2,3202.79
12.32,Regular,0.032,Soft Drinks,181.1,1987,High,Tier 2,Supermarket Type1,4075.27
18.12,Low Sugar,0.031,Dairy,202.1,1999,Medium,Tier 1,Departmental Store,5815.38
13.21,Low Sugar,0.059,Soft Drinks,151.87,2009,Medium,Tier 2,Supermarket Type2,3677.56
7.72,Low Sugar,0.07,Fruits and Vegetables,123.45,1998,Small,Tier 3,Food Mart,1856.55
11.8,No Sugar,0.046,Household,164.82,2009,Medium,Tier 2,Supermarket Type2,3623.93
14.19,Low Sugar,0.08,Fruits and Vegetables,143.34,2009,Medium,Tier 2,Supermarket Type2,3724.87
13.09,Low Sugar,0.112,Soft Drinks,123.09,2009,Medium,Tier 2,Supermarket Type2,3062.32
12.01,Regular,0.019,Canned,134.17,2009,Medium,Tier 2,Supermarket Type2,3043.86
15.55,Low Sugar,0.054,Frozen Foods,175.65,1987,High,Tier 2,Supermarket Type1,4693.61
14.84,Low Sugar,0.064,Dairy,135.55,2009,Medium,Tier 2,Supermarket Type2,3712.61
12.04,No Sugar,0.064,Health and Hygiene,99.19,1987,High,Tier 2,Supermarket Type1,2336.73
17.15,Low Sugar,0.094,Baking Goods,182.91,1999,Medium,Tier 1,Departmental Store,5203.29
9.77,Low Sugar,0.03,Dairy,132.65,2009,Medium,Tier 2,Supermarket Type2,4328.48
9.88,Low Sugar,0.032,Snack Foods,142.22,2009,Medium,Tier 2,Supermarket Type2,2727.08
11.85,Low Sugar,0.137,Breads,172.17,2009,Medium,Tier 2,Supermarket Type2,3787.16
15.83,Low Sugar,0.065,Frozen Foods,180.77,1987,High,Tier 2,Supermarket Type1,4861.63
10.71,Regular,0.066,Canned,118.97,1987,High,Tier 2,Supermarket Type1,2440.96
11.45,Low Sugar,0.034,Dairy,133.9,2009,Medium,Tier 2,Supermarket Type2,2911.86
10.09,Low Sugar,0.038,Frozen Foods,129.34,2009,Medium,Tier 2,Supermarket Type2,2511.29
10.15,No Sugar,0.016,Household,104.0,1998,Small,Tier 3,Food Mart,2007.09
14.76,No Sugar,0.161,Household,188.48,1987,High,Tier 2,Supermarket Type1,4776.98
13.89,Low Sugar,0.016,Breads,143.01,2009,Medium,Tier 2,Supermarket Type2,3649.8
14.53,Low Sugar,0.092,Breads,218.91,1999,Medium,Tier 1,Departmental Store,5348.62
12.68,Low Sugar,0.017,Snack Foods,102.94,2009,Medium,Tier 2,Supermarket Type2,2556.84
13.48,Regular,0.129,Frozen Foods,142.83,2009,Medium,Tier 2,Supermarket Type2,3554.49
12.41,No Sugar,0.042,Health and Hygiene,166.09,2009,Medium,Tier 2,Supermarket Type2,3788.44
9.82,Low Sugar,0.045,Baking Goods,128.34,1987,High,Tier 2,Supermarket Type1,2431.05
10.3,Low Sugar,0.116,Soft Drinks,130.39,2009,Medium,Tier 2,Supermarket Type2,2581.85
13.14,Regular,0.034,Frozen Foods,97.35,2009,Medium,Tier 2,Supermarket Type2,2546.15
11.92,Regular,0.031,Dairy,138.42,1998,Small,Tier 3,Food Mart,800.44
10.94,Low Sugar,0.138,Dairy,121.01,2009,Medium,Tier 2,Supermarket Type2,2532.68
11.65,Low Sugar,0.058,Fruits and Vegetables,135.76,2009,Medium,Tier 2,Supermarket Type2,2996.96
11.48,Low Sugar,0.122,Dairy,153.27,2009,Medium,Tier 2,Supermarket Type2,3316.49
11.72,Low Sugar,0.022,Meat,133.1,2009,Medium,Tier 2,Supermarket Type2,2956.82
15.11,No Sugar,0.014,Health and Hygiene,176.72,1987,High,Tier 2,Supermarket Type1,4615.65
13.67,Low Sugar,0.028,Frozen Foods,141.51,2009,Medium,Tier 2,Supermarket Type2,3570.19
10.8,No Sugar,0.07,Health and Hygiene,135.13,2009,Medium,Tier 2,Supermarket Type2,2790.07
15.97,Low Sugar,0.011,Meat,169.76,1987,High,Tier 2,Supermarket Type1,4668.59
13.57,reg,0.044,Dairy,121.38,2009,Medium,Tier 2,Supermarket Type2,3135.0
16.24,Low Sugar,0.032,Fruits and Vegetables,196.44,1999,Medium,Tier 1,Departmental Store,5273.89
14.3,Low Sugar,0.076,Dairy,159.21,1987,High,Tier 2,Supermarket Type1,4074.0
14.4,Low Sugar,0.021,Dairy,174.68,1999,Medium,Tier 1,Departmental Store,4414.95
12.26,No Sugar,0.159,Household,124.22,2009,Medium,Tier 2,Supermarket Type2,2896.91
12.71,Low Sugar,0.18,Fruits and Vegetables,183.54,1999,Medium,Tier 1,Departmental Store,4212.43
16.09,Regular,0.138,Fruits and Vegetables,161.68,1987,High,Tier 2,Supermarket Type1,4530.6
7.11,Low Sugar,0.065,Frozen Foods,96.54,1998,Small,Tier 3,Food Mart,1167.43
13.08,Low Sugar,0.128,Meat,146.35,2009,Medium,Tier 2,Supermarket Type2,4334.63
9.2,Low Sugar,0.081,Snack Foods,108.37,1998,Small,Tier 3,Food Mart,1881.0
16.15,Regular,0.185,Canned,168.51,1987,High,Tier 2,Supermarket Type1,4684.13
13.44,Low Sugar,0.011,Hard Drinks,153.62,2009,Medium,Tier 2,Supermarket Type2,3765.08
11.99,Regular,0.081,Dairy,122.18,2009,Medium,Tier 2,Supermarket Type2,2794.79
12.58,Regular,0.174,Frozen Foods,110.83,2009,Medium,Tier 2,Supermarket Type2,2696.92
10.85,Regular,0.111,Soft Drinks,102.41,1998,Small,Tier 3,Food Mart,2132.57
13.73,Low Sugar,0.027,Fruits and Vegetables,157.0,2009,Medium,Tier 2,Supermarket Type2,2842.69
14.94,Low Sugar,0.098,Canned,132.02,2009,Medium,Tier 2,Supermarket Type2,3662.7
12.33,Regular,0.16,Meat,111.53,2009,Medium,Tier 2,Supermarket Type2,2653.7
17.33,No Sugar,0.038,Health and Hygiene,195.06,1999,Medium,Tier 1,Departmental Store,5492.55
13.51,Low Sugar,0.047,Baking Goods,144.06,2009,Medium,Tier 2,Supermarket Type2,3586.98
11.49,Low Sugar,0.06,Dairy,94.19,1998,Small,Tier 3,Food Mart,2110.46
10.1,Low Sugar,0.006,Fruits and Vegetables,117.76,1998,Small,Tier 3,Food Mart,2277.36
13.75,Low Sugar,0.038,Snack Foods,150.43,2009,Medium,Tier 2,Supermarket Type2,3771.58
14.52,Regular,0.019,Baking Goods,214.98,1999,Medium,Tier 1,Departmental Store,5264.97
13.45,Regular,0.106,Baking Goods,141.05,2009,Medium,Tier 2,Supermarket Type2,3511.42
11.47,Low Sugar,0.058,Meat,178.4,2009,Medium,Tier 2,Supermarket Type2,3827.72
16.03,Low Sugar,0.064,Meat,194.26,1999,Medium,Tier 1,Departmental Store,5184.12
19.82,Low Sugar,0.014,Canned,210.94,1998,Small,Tier 3,Food Mart,2129.71
11.74,No Sugar,0.026,Household,123.21,2009,Medium,Tier 2,Supermarket Type2,2760.22
15.79,Low Sugar,0.069,Canned,144.12,1987,High,Tier 2,Supermarket Type1,4102.26
14.77,Low Sugar,0.077,Starchy Foods,187.72,1987,High,Tier 2,Supermarket Type1,4763.72
13.7,Low Sugar,0.07,Snack Foods,183.45,1999,Medium,Tier 1,Departmental Store,4435.82
13.06,Regular,0.191,Snack Foods,151.96,2009,Medium,Tier 2,Supermarket Type2,3646.25
12.95,No Sugar,0.085,Household,107.38,2009,Medium,Tier 2,Supermarket Type2,4332.32
13.04,Low Sugar,0.028,Breads,126.64,1999,Medium,Tier 1,Departmental Store,6660.96
13.05,Regular,0.014,Frozen Foods,169.41,1987,High,Tier 2,Supermarket Type1,4001.06
14.77,No Sugar,0.041,Others,130.2,1999,Medium,Tier 1,Departmental Store,6405.03
14.32,Regular,0.03,Frozen Foods,194.4,1987,High,Tier 2,Supermarket Type1,4798.7
11.54,Regular,0.071,Soft Drinks,107.03,1987,High,Tier 2,Supermarket Type1,2382.28
16.12,No Sugar,0.12,Health and Hygiene,175.82,1987,High,Tier 2,Supermarket Type1,4825.55
15.27,Regular,0.082,Soft Drinks,144.22,2009,Medium,Tier 2,Supermarket Type2,3988.19
11.77,Regular,0.068,Canned,140.05,2009,Medium,Tier 2,Supermarket Type2,3111.23
10.85,Regular,0.066,Baking Goods,143.92,2009,Medium,Tier 2,Supermarket Type2,2981.2
11.01,Low Sugar,0.147,Fruits and Vegetables,92.24,1998,Small,Tier 3,Food Mart,1960.49
10.55,Regular,0.08,Snack Foods,94.69,1998,Small,Tier 3,Food Mart,1908.09
8.49,Low Sugar,0.083,Snack Foods,133.15,1998,Small,Tier 3,Food Mart,2227.81
9.75,Low Sugar,0.009,Snack Foods,116.15,1998,Small,Tier 3,Food Mart,2165.05
14.54,Low Sugar,0.128,Dairy,175.77,1999,Medium,Tier 1,Departmental Store,4468.82
15.98,Low Sugar,0.106,Snack Foods,169.63,1987,High,Tier 2,Supermarket Type1,4668.38
12.4,Regular,0.086,Fruits and Vegetables,187.48,1999,Medium,Tier 1,Departmental Store,4222.99
9.77,Low Sugar,0.055,Canned,139.51,2009,Medium,Tier 2,Supermarket Type2,2647.72
11.14,Regular,0.016,Canned,109.91,1987,High,Tier 2,Supermarket Type1,2352.39
13.81,No Sugar,0.013,Health and Hygiene,170.97,1999,Medium,Tier 1,Departmental Store,4204.48
17.24,Low Sugar,0.034,Dairy,205.11,1999,Medium,Tier 1,Departmental Store,5678.44
11.48,Low Sugar,0.097,Canned,148.56,2009,Medium,Tier 2,Supermarket Type2,3219.19
13.08,No Sugar,0.052,Health and Hygiene,202.0,1999,Medium,Tier 1,Departmental Store,5449.81
8.34,Regular,0.024,Canned,125.95,1998,Small,Tier 3,Food Mart,2046.14
12.51,Low Sugar,0.043,Dairy,102.78,2009,Medium,Tier 2,Supermarket Type2,2516.6
14.74,Regular,0.083,Soft Drinks,167.42,1999,Medium,Tier 1,Departmental Store,4342.22
14.14,No Sugar,0.064,Household,119.88,2009,Medium,Tier 2,Supermarket Type2,3233.7
13.21,Low Sugar,0.067,Snack Foods,157.8,2009,Medium,Tier 2,Supermarket Type2,3800.42
13.77,Low Sugar,0.107,Breakfast,130.94,2009,Medium,Tier 2,Supermarket Type2,3375.92
12.82,Regular,0.184,Baking Goods,133.98,2009,Medium,Tier 2,Supermarket Type2,3223.86
12.02,Low Sugar,0.163,Fruits and Vegetables,123.66,2009,Medium,Tier 2,Supermarket Type2,2831.06
14.08,Low Sugar,0.047,Dairy,133.08,2009,Medium,Tier 2,Supermarket Type2,3490.85
11.72,Low Sugar,0.054,Snack Foods,143.43,2009,Medium,Tier 2,Supermarket Type2,3167.74
13.68,Low Sugar,0.041,Hard Drinks,196.53,1987,High,Tier 2,Supermarket Type1,4697.71
13.28,Low Sugar,0.084,Meat,148.86,2009,Medium,Tier 2,Supermarket Type2,3631.96
9.64,No Sugar,0.03,Household,141.23,2009,Medium,Tier 2,Supermarket Type2,2721.32
12.1,Low Sugar,0.12,Baking Goods,126.21,2009,Medium,Tier 2,Supermarket Type2,2901.63
10.33,Low Sugar,0.047,Snack Foods,133.86,2009,Medium,Tier 2,Supermarket Type2,2659.17
7.13,Low Sugar,0.074,Frozen Foods,83.24,1998,Small,Tier 3,Food Mart,900.16
12.48,Regular,0.214,Dairy,105.0,2009,Medium,Tier 2,Supermarket Type2,2554.01
12.24,Low Sugar,0.136,Fruits and Vegetables,147.39,2009,Medium,Tier 2,Supermarket Type2,3366.85
12.54,Low Sugar,0.023,Fruits and Vegetables,178.97,1987,High,Tier 2,Supermarket Type1,4081.38
8.87,Low Sugar,0.088,Baking Goods,113.03,1998,Small,Tier 3,Food Mart,1901.95
12.18,Low Sugar,0.097,Breads,137.39,2009,Medium,Tier 2,Supermarket Type2,3149.32
12.17,Low Sugar,0.059,Meat,177.83,2009,Medium,Tier 2,Supermarket Type2,3973.77
11.92,Low Sugar,0.028,Snack Foods,176.11,2009,Medium,Tier 2,Supermarket Type2,3882.25
10.92,Regular,0.031,Dairy,110.63,1987,High,Tier 2,Supermarket Type1,2315.7
13.34,Low Sugar,0.093,Meat,124.78,1999,Medium,Tier 1,Departmental Store,5703.97
11.31,Low Sugar,0.152,Canned,146.11,2009,Medium,Tier 2,Supermarket Type2,3131.78
10.66,Low Sugar,0.174,Starchy Foods,141.0,2009,Medium,Tier 2,Supermarket Type2,1640.82
12.88,Regular,0.026,Baking Goods,89.6,1987,High,Tier 2,Supermarket Type1,2329.47
11.01,Regular,0.117,Frozen Foods,114.6,1987,High,Tier 2,Supermarket Type1,2417.79
11.59,Regular,0.015,Frozen Foods,136.89,2009,Medium,Tier 2,Supermarket Type2,3005.51
14.02,Low Sugar,0.129,Canned,112.36,2009,Medium,Tier 2,Supermarket Type2,3051.8
15.23,Low Sugar,0.047,Soft Drinks,158.9,1999,Medium,Tier 1,Departmental Store,4279.28
15.03,Low Sugar,0.066,Dairy,117.04,2009,Medium,Tier 2,Supermarket Type2,3376.82
12.47,Low Sugar,0.035,Soft Drinks,147.92,2009,Medium,Tier 2,Supermarket Type2,3429.8
9.37,Low Sugar,0.049,Soft Drinks,94.63,1998,Small,Tier 3,Food Mart,1638.08
15.12,Regular,0.058,Frozen Foods,133.4,2009,Medium,Tier 2,Supermarket Type2,3730.93
12.88,Low Sugar,0.044,Snack Foods,98.09,2009,Medium,Tier 2,Supermarket Type2,2503.26
15.52,Low Sugar,0.053,Canned,173.65,1987,High,Tier 2,Supermarket Type1,4646.17
11.47,Regular,0.047,Dairy,130.27,2009,Medium,Tier 2,Supermarket Type2,1979.46
11.1,Low Sugar,0.053,Breads,122.31,2009,Medium,Tier 2,Supermarket Type2,2596.24
14.08,No Sugar,0.047,Household,173.2,1999,Medium,Tier 1,Departmental Store,4311.19
17.42,Low Sugar,0.027,Baking Goods,143.85,1998,Small,Tier 3,Food Mart,1901.04
15.14,Regular,0.031,Frozen Foods,166.7,1999,Medium,Tier 1,Departmental Store,4417.93
14.14,Regular,0.02,Dairy,147.81,2009,Medium,Tier 2,Supermarket Type2,3804.8
13.59,Low Sugar,0.069,Dairy,150.54,2009,Medium,Tier 2,Supermarket Type2,3735.87
11.52,No Sugar,0.066,Others,109.74,1987,High,Tier 2,Supermarket Type1,2433.52
13.7,No Sugar,0.116,Household,131.24,2009,Medium,Tier 2,Supermarket Type2,3367.55
9.2,Regular,0.15,Canned,84.37,1998,Small,Tier 3,Food Mart,1390.69
16.4,No Sugar,0.227,Health and Hygiene,158.93,1987,High,Tier 2,Supermarket Type1,4543.65
14.76,Low Sugar,0.033,Frozen Foods,145.42,2009,Medium,Tier 2,Supermarket Type2,3896.2
14.35,No Sugar,0.053,Household,173.04,1999,Medium,Tier 1,Departmental Store,4369.89
13.36,Regular,0.104,Baking Goods,109.88,2009,Medium,Tier 2,Supermarket Type2,2853.77
8.32,Low Sugar,0.084,Snack Foods,116.5,1998,Small,Tier 3,Food Mart,1848.69
12.23,Low Sugar,0.054,Fruits and Vegetables,152.83,2009,Medium,Tier 2,Supermarket Type2,3477.12
12.21,Low Sugar,0.205,Starchy Foods,142.68,2009,Medium,Tier 2,Supermarket Type2,3264.16
7.02,Regular,0.029,Baking Goods,50.42,1998,Small,Tier 3,Food Mart,203.55
13.46,No Sugar,0.08,Household,148.75,2009,Medium,Tier 2,Supermarket Type2,3670.67
11.48,Low Sugar,0.107,Meat,112.69,1987,High,Tier 2,Supermarket Type1,2485.22
13.07,Low Sugar,0.045,Soft Drinks,161.18,2009,Medium,Tier 2,Supermarket Type2,3836.9
9.37,Low Sugar,0.068,Snack Foods,104.81,1998,Small,Tier 3,Food Mart,1847.26
10.46,Low Sugar,0.137,Baking Goods,117.84,1987,High,Tier 2,Supermarket Type1,2413.39
10.72,Regular,0.119,Canned,127.9,2009,Medium,Tier 2,Supermarket Type2,2626.22
14.42,Low Sugar,0.067,Baking Goods,181.17,1987,High,Tier 2,Supermarket Type1,4550.07
14.93,Low Sugar,0.083,Soft Drinks,189.03,1987,High,Tier 2,Supermarket Type1,4826.27
13.33,Regular,0.082,Dairy,135.39,2009,Medium,Tier 2,Supermarket Type2,3368.53
14.28,No Sugar,0.169,Health and Hygiene,160.97,1987,High,Tier 2,Supermarket Type1,4106.49
13.54,Low Sugar,0.1,Snack Foods,154.55,2009,Medium,Tier 2,Supermarket Type2,3808.62
14.82,Regular,0.03,Baking Goods,190.42,1987,High,Tier 2,Supermarket Type1,4830.81
10.02,Regular,0.132,Snack Foods,120.83,1987,High,Tier 2,Supermarket Type1,2322.64
12.78,Low Sugar,0.169,Snack Foods,152.33,2009,Medium,Tier 2,Supermarket Type2,3589.82
12.66,Regular,0.066,Fruits and Vegetables,117.41,2009,Medium,Tier 2,Supermarket Type2,2849.03
13.04,Low Sugar,0.058,Snack Foods,91.53,1987,High,Tier 2,Supermarket Type1,2405.69
10.54,reg,0.067,Canned,172.61,2009,Medium,Tier 2,Supermarket Type2,3500.18
14.91,Low Sugar,0.1,Meat,166.86,1999,Medium,Tier 1,Departmental Store,4368.82
11.43,Regular,0.065,Baking Goods,99.29,1998,Small,Tier 3,Food Mart,2200.72
8.81,Low Sugar,0.157,Snack Foods,167.03,2009,Medium,Tier 2,Supermarket Type2,2993.9
14.61,Low Sugar,0.093,Starchy Foods,147.49,2009,Medium,Tier 2,Supermarket Type2,3905.37
12.75,Regular,0.007,Snack Foods,146.47,2009,Medium,Tier 2,Supermarket Type2,3463.73
11.2,Regular,0.069,Snack Foods,124.4,2009,Medium,Tier 2,Supermarket Type2,2661.55
7.94,Low Sugar,0.012,Hard Drinks,131.06,1998,Small,Tier 3,Food Mart,2062.07
14.72,Regular,0.033,Snack Foods,183.18,1987,High,Tier 2,Supermarket Type1,4659.17
14.91,Regular,0.037,Snack Foods,182.95,1987,High,Tier 2,Supermarket Type1,4697.83
16.9,Low Sugar,0.122,Meat,243.98,1999,Medium,Tier 1,Departmental Store,6396.62
12.77,No Sugar,0.083,Health and Hygiene,175.12,1987,High,Tier 2,Supermarket Type1,4053.74
12.16,No Sugar,0.039,Household,124.07,2009,Medium,Tier 2,Supermarket Type2,2872.23
10.37,Low Sugar,0.024,Fruits and Vegetables,126.19,2009,Medium,Tier 2,Supermarket Type2,2511.3
14.34,Regular,0.021,Baking Goods,168.19,1999,Medium,Tier 1,Departmental Store,4268.48
13.28,No Sugar,0.073,Household,154.5,2009,Medium,Tier 2,Supermarket Type2,3747.47
16.1,Low Sugar,0.027,Meat,156.81,1999,Medium,Tier 1,Departmental Store,4433.44
16.66,Regular,0.04,Meat,203.88,1999,Medium,Tier 1,Departmental Store,5522.94
15.99,Low Sugar,0.038,Snack Foods,164.5,1987,High,Tier 2,Supermarket Type1,4563.96
14.27,Low Sugar,0.01,Snack Foods,184.71,1987,High,Tier 2,Supermarket Type1,4590.05
7.8,Low Sugar,0.036,Dairy,131.56,1998,Small,Tier 3,Food Mart,2039.3
18.29,Low Sugar,0.142,Meat,146.15,1999,Medium,Tier 1,Departmental Store,4708.24
10.76,Regular,0.017,Canned,174.58,2009,Medium,Tier 2,Supermarket Type2,3589.29
11.25,Regular,0.046,Baking Goods,191.85,1987,High,Tier 2,Supermarket Type1,4053.86
14.82,Low Sugar,0.027,Baking Goods,119.5,2009,Medium,Tier 2,Supermarket Type2,3380.37
10.9,Low Sugar,0.029,Dairy,131.3,2009,Medium,Tier 2,Supermarket Type2,2735.89
16.31,Low Sugar,0.076,Fruits and Vegetables,192.76,1999,Medium,Tier 1,Departmental Store,5215.58
16.73,Low Sugar,0.066,Dairy,166.21,1987,High,Tier 2,Supermarket Type1,4766.5
13.26,Low Sugar,0.037,Dairy,147.89,2009,Medium,Tier 2,Supermarket Type2,3607.36
11.25,Low Sugar,0.009,Snack Foods,142.24,2009,Medium,Tier 2,Supermarket Type2,3037.64
10.33,Regular,0.032,Snack Foods,159.28,2009,Medium,Tier 2,Supermarket Type2,3178.88
11.0,No Sugar,0.041,Health and Hygiene,124.52,2009,Medium,Tier 2,Supermarket Type2,2618.11
11.63,reg,0.045,Frozen Foods,139.5,2009,Medium,Tier 2,Supermarket Type2,3068.54
11.79,Low Sugar,0.144,Fruits and Vegetables,145.5,2009,Medium,Tier 2,Supermarket Type2,3226.73
14.62,Regular,0.086,Hard Drinks,153.14,1987,High,Tier 2,Supermarket Type1,4021.82
11.45,Regular,0.052,Baking Goods,154.54,2009,Medium,Tier 2,Supermarket Type2,3335.9
13.83,No Sugar,0.1,Health and Hygiene,134.77,2009,Medium,Tier 2,Supermarket Type2,3469.51
13.13,Regular,0.03,Frozen Foods,165.99,2009,Medium,Tier 2,Supermarket Type2,3949.88
12.74,No Sugar,0.085,Others,145.01,2009,Medium,Tier 2,Supermarket Type2,3432.06
10.32,Low Sugar,0.024,Meat,117.27,1987,High,Tier 2,Supermarket Type1,2316.16
9.16,Regular,0.018,Snack Foods,95.11,1998,Small,Tier 3,Food Mart,1602.1
16.64,Regular,0.015,Meat,172.08,1999,Medium,Tier 1,Departmental Store,4867.83
11.68,No Sugar,0.097,Health and Hygiene,129.87,1998,Small,Tier 3,Food Mart,1397.17
15.7,Low Sugar,0.154,Frozen Foods,180.84,1987,High,Tier 2,Supermarket Type1,4833.0
12.89,Low Sugar,0.059,Hard Drinks,148.99,2009,Medium,Tier 2,Supermarket Type2,3547.69
